,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
127,APPROXIMATE,"9000 Murska Sobota, Slovenia",ChIJKZKrLeU-b0cRxDjv-fe9hCY,MURSKA SOBOTA,46.6581381,16.1610293,1,9000,OK,"locality,political"
128,,,,MURSKA SRED.,,,0,,ZERO_RESULTS,
129,APPROXIMATE,"9000 Murska Sobota, Slovenia",ChIJKZKrLeU-b0cRxDjv-fe9hCY,MURSKA SUBOTA ESLOVENIA,46.6581381,16.1610293,1,9000,OK,"locality,political"
130,APPROXIMATE,"9000 Murska Sobota, Slovenia",ChIJKZKrLeU-b0cRxDjv-fe9hCY,MURSKA-SOBATA,46.6581381,16.1610293,1,9000,OK,"locality,political"
131,APPROXIMATE,"9000 Murska Sobota, Slovenia",ChIJKZKrLeU-b0cRxDjv-fe9hCY,MURSKAZUBUTA,46.6581381,16.1610293,1,9000,OK,"locality,political"
132,APPROXIMATE,"Mursko Središće, Croatia",ChIJv5Phgq60aEcRANcrhlCtAAQ,MURSKO,46.5131065,16.4394325,1,,OK,"locality,political"
133,APPROXIMATE,"Mursko Središće, Croatia",ChIJv5Phgq60aEcRANcrhlCtAAQ,MURSKO SREDISCE,46.5131065,16.4394325,1,,OK,"locality,political"
134,APPROXIMATE,"Mursko Središće, Croatia",ChIJv5Phgq60aEcRANcrhlCtAAQ,MURSKO SRELISCE,46.5131065,16.4394325,1,,OK,"locality,political"
135,APPROXIMATE,"Murta, Campbell Township, AR 72476, USA",ChIJtWcofsSX1ocRPbfXI_BiizM,MURTA,36.1134024,-90.8937296,1,72476,OK,"colloquial_area,political"
136,APPROXIMATE,"Murter, Croatia",ChIJzxQQXDjQNBMRkFdtvprV2oI,MURTER,43.8083553,15.6002024,1,,OK,"establishment,natural_feature"
137,APPROXIMATE,"Murter, Croatia",ChIJl1DU9yrONBMRMAylUdP7-AY,MURTERA,43.8203478,15.5881451,1,,OK,"locality,political"
138,APPROXIMATE,"Murtoa VIC 3390, Australia",ChIJ6WGlyWjJz2oR8LGgMKR5BQQ,MURTORA,-36.6144503,142.4698649,1,3390,OK,"locality,political"
139,,,,MURUSCHATS,,,0,,ZERO_RESULTS,
140,GEOMETRIC_CENTER,"Askern House/High St, Doncaster DN6 0AA, United Kingdom",ChIJfTE1BLgTeUgR8cKej4ArGk8,MURVIC,53.61271199999999,-1.152065,1,DN6 0AA,OK,"establishment,point_of_interest"
141,APPROXIMATE,"Murvica, Croatia",ChIJo3qGs8aDShMRbAQBDnzDXWk,MURVICA,43.2673222,16.5939164,1,,OK,"locality,political"
142,GEOMETRIC_CENTER,"Put Murvice, 23000, Zadar, Croatia",ChIJ4fyUB4n6YUcRgEqsUdi4Bds,MURVICE,44.1107995,15.2453645,1,23000,OK,route
143,,,,MUSHKA,,,0,,ZERO_RESULTS,
144,ROOFTOP,"Music, Workman Mill Rd, Whittier, CA 90601, USA",ChIJsdi-kTjRwoAR2am16AXUUGw,MUSIC,34.0182694,-118.0340812,6,90601,OK,premise
145,,,,MUSITON,,,0,,ZERO_RESULTS,
146,ROOFTOP,"Groene Velden 83, 8211 BB Lelystad, Netherlands",ChIJLcf_bK0nxkcRKaMUe18ob54,MUSJE,52.53433219999999,5.500289299999999,1,8211 BB,OK,"establishment,point_of_interest,school"
147,,,,MUSOLUK,,,0,,ZERO_RESULTS,
148,ROOFTOP,"Via Opessina, 4, 14040 Castelnuovo Calcea AT, Italy",ChIJ5RwvqdOOh0cRlEV9NZn2dyM,MUSSIAN,44.774138,8.288008999999999,1,14040,OK,"establishment,lodging,point_of_interest"
149,GEOMETRIC_CENTER,"2822 Bybrua, Norway",ChIJ5xZXvO7TQUYRIXronTWSpaQ,MUSTAD,60.80918089999999,10.4743901,2,2822,OK,"establishment,point_of_interest"
150,ROOFTOP,"Bahnstraße 17, 41569 Rommerskirchen, Germany",ChIJ-XLNL9dJv0cRSzKrf87W9gg,MUSZ,51.03800510000001,6.699104999999999,1,41569,OK,"establishment,health,physiotherapist,point_of_interest"
151,APPROXIMATE,"2366 Muta, Slovenia",ChIJtcicT2_tb0cRE4DfDgf3RpU,MUTA,46.6097366,15.1629995,1,2366,OK,"locality,political"
152,APPROXIMATE,"2366 Muta, Slovenia",ChIJtcicT2_tb0cRE4DfDgf3RpU,MUTA SLOVENIA,46.6097366,15.1629995,1,2366,OK,"locality,political"
153,APPROXIMATE,"53234, Mutilić, Croatia",ChIJv4iMQocKYUcRnKA73C2xOec,MUTILIC,44.5011717,15.7740719,1,53234,OK,"locality,political"
